"filename", "language", "C++", "XML", "Log", "comment", "blank", "total"
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\osc-seq-cpp.vcxproj", "XML", 0, 211, 0, 0, 1, 212
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\main.cpp", "C++", 14, 0, 0, 0, 3, 17
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\osc\osc.cpp", "C++", 77, 0, 0, 0, 16, 93
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\osc\osc.hpp", "C++", 26, 0, 0, 0, 10, 36
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\sdl\sdl_wrapper.cpp", "C++", 70, 0, 0, 0, 22, 92
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\sdl\sdl_wrapper.hpp", "C++", 27, 0, 0, 0, 12, 39
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\sequencer.cpp", "C++", 26, 0, 0, 2, 16, 44
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\sequencer.hpp", "C++", 3, 0, 0, 0, 3, 6
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\coord.hpp", "C++", 6, 0, 0, 0, 2, 8
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\event_editor.hpp", "C++", 6, 0, 0, 0, 2, 8
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\grid\grid.hpp", "C++", 37, 0, 0, 0, 8, 45
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\grid\grid_cell.cpp", "C++", 206, 0, 0, 0, 20, 226
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\grid\grid_cell.hpp", "C++", 58, 0, 0, 0, 17, 75
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\grid\pattern_grid.cpp", "C++", 47, 0, 0, 0, 10, 57
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\grid\pattern_grid.hpp", "C++", 22, 0, 0, 0, 14, 36
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\grid\pattern_grid_cell.hpp", "C++", 5, 0, 0, 0, 2, 7
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\grid\seq_grid.cpp", "C++", 208, 0, 0, 0, 34, 242
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\grid\seq_grid.hpp", "C++", 54, 0, 0, 0, 33, 87
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\image.hpp", "C++", 16, 0, 0, 0, 4, 20
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\rect.hpp", "C++", 8, 0, 0, 0, 2, 10
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\store.cpp", "C++", 113, 0, 0, 0, 32, 145
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\store.hpp", "C++", 42, 0, 0, 0, 17, 59
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\time_divisions.cpp", "C++", 14, 0, 0, 0, 5, 19
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\time_divisions.hpp", "C++", 13, 0, 0, 0, 3, 16
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\ui_state.cpp", "C++", 37, 0, 0, 0, 7, 44
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\store\ui_state.hpp", "C++", 46, 0, 0, 0, 11, 57
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\systems\control_system.cpp", "C++", 203, 0, 0, 2, 24, 229
"c:\Users\ajc\development\cpp\osc-seq-cpp\osc-seq-cpp\src\systems\control_system.hpp", "C++", 37, 0, 0, 0, 9, 46
